village_code_2011,village_name_2011,state_code_2011,district_code_2011,sub_district_code_2011,village_code_2001,village_name_2001,state_code_2001,district_code_2001,sub_district_code_2001,CEN2001_ID
627137,Panayal,32,588,5631,7800,Panayal,32,1,2,3201000200007800
627138,Chithari,32,588,5631,8100,Chithari,32,1,2,3201000200008100
627139,Periya,32,588,5631,8200,Periya,32,1,2,3201000200008200
627140,Pullur,32,588,5631,8300,Pullur,32,1,2,3201000200008300
627141,Bellur,32,588,5631,8400,Bellur,32,1,2,3201000200008400
627142,Kodom,32,588,5631,8500,Kodom,32,1,2,3201000200008500
627143,Kallar,32,588,5631,8600,Kallar,32,1,2,3201000200008600
627144,Panathady,32,588,5631,8700,Panathady,32,1,2,3201000200008700
627145,Balal,32,588,5631,8800,Balal,32,1,2,3201000200008800
627146,Maloth,32,588,5631,8900,Maloth,32,1,2,3201000200008900
627147,WestEleri,32,588,5631,9000,WestEleri,32,1,2,3201000200009000
627148,Palavayal,32,588,5631,9100,Palavayal,32,1,2,3201000200009100
627149,Chittarikkal,32,588,5631,9200,Chittarikkal,32,1,2,3201000200009200
627150,Bheemanady,32,588,5631,9300,Bheemanady,32,1,2,3201000200009300
627151,Parappa,32,588,5631,9400,Parappa,32,1,2,3201000200009400
627152,Thayanur,32,588,5631,9500,Thayanur,32,1,2,3201000200009500
627153,Ambalathara,32,588,5631,9600,Ambalathara,32,1,2,3201000200009600
627154,Madikai,32,588,5631,9800,Madikai,32,1,2,3201000200009800
627155,Kinanoor,32,588,5631,9900,Kinanoor,32,1,2,3201000200009900
627156,Karindalam,32,588,5631,10000,Karindalam,32,1,2,3201000200010000
627157,CheemeniII,32,588,5631,10100,CheemeniII,32,1,2,3201000200010100
627158,Cheemeni,32,588,5631,10200,Cheemeni,32,1,2,3201000200010200
627159,Kayyur,32,588,5631,10300,Kayyur,32,1,2,3201000200010300
627160,Kilayikode,32,588,5631,10400,Kilayikode,32,1,2,3201000200010400
627161,Thimiri,32,588,5631,10500,Thimiri,32,1,2,3201000200010500
627162,Kodakkad,32,588,5631,10600,Kodakkad,32,1,2,3201000200010600
627163,Padne,32,588,5631,10900,Padne,32,1,2,3201000200010900
627164,Udinoor,32,588,5631,11000,Udinoor,32,1,2,3201000200011000
627165,Bare(CT),32,588,5631,7600,Bare,32,1,2,3201000200007600
627166,Udma(CT),32,588,5631,40106000,Udma(CT),32,1,2,3201000240106000
627167,Pallikkara(CT),32,588,5631,7900,Pallikkara,32,1,2,3201000200007900
627168,Keekan(CT),32,588,5631,8000,Keekan,32,1,2,3201000200008000
627169,Ajanur(CT),32,588,5631,9700,Ajanur,32,1,2,3201000200009700
627170,Perole(CT),32,588,5631,40107000,Perole(OG),32,1,2,3201000240107000
627171,Pilicode(CT),32,588,5631,10700,Pilicode,32,1,2,3201000200010700
627172,Maniyat(CT),32,588,5631,10800,Maniyat,32,1,2,3201000200010800
627173,NorthThrikkaripur(CT),32,588,5631,11100,NorthThrikkaripur,32,1,2,3201000200011100
627174,SouthThrikkaripur(CT),32,588,5631,11200,SouthThrikkaripur,32,1,2,3201000200011200
627175,Nileshwar(OG),32,588,5631,40107000,Nileshwar(OG),32,1,2,3201000240107000
627176,Cheruvathur(OG),32,588,5631,40107000,Cheruvathur(OG),32,1,2,3201000240107000
627177,Ramanthali,32,589,5632,11300,Ramanthali,32,2,1,3202000100011300
627178,Peralam,32,589,5632,11500,Peralam,32,2,1,3202000100011500
627179,Kankole,32,589,5632,11600,Kankole,32,2,1,3202000100011600
627180,Alapadamba,32,589,5632,11700,Alapadamba,32,2,1,3202000100011700
627181,Eramam,32,589,5632,11800,Eramam,32,2,1,3202000100011800
627182,Perinthatta,32,589,5632,11900,Perinthatta,32,2,1,3202000100011900
627183,Kuttoor,32,589,5632,12000,Kuttoor,32,2,1,3202000100012000
627184,Vellora,32,589,5632,12100,Vellora,32,2,1,3202000100012100
627185,Peringome,32,589,5632,12200,Peringome,32,2,1,3202000100012200
627186,Thimiri,32,589,5632,12300,Thimiri,32,2,1,3202000100012300
627187,Vayakkara,32,589,5632,12400,Vayakkara,32,2,1,3202000100012400
627188,Pulingome,32,589,5632,12500,Pulingome,32,2,1,3202000100012500
